Fornavne til kvinder, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
INGER-LISE	433
SIMONA	432
KARI	431
AYLA	430
ANNABELL	429
KARNA	427
SONIA	424
KIM	420
KATINKA	419
LIVIA	418
MIMI	416
LILJA	415
SAMANTHA	415
JUDY	413
LOLA	413
ANITTA	410
DANA	409
NADA	409
LEYLA	408
ANNA-MARIE	407
LULU	406
NOOR	404
MAISE	403
TERESE	403
RACHEL	400
LIZA	398
RUNA	396
CINDY	395
PUK	394
FATEMEH	393
SVETLANA	393
KRISTIN	391
WINNI	391
SANA	390
ELA	388
HAILEY	387
LE	386
ELMA	384
ULRIKKE	384
ILONA	382
KATRIN	382
SOMMER	382
MARIANNA	381
ZARA	381
ZOEY	381
ANDREEA	379
DORTHEA	379
SUSANNA	379
CATHERINE	378
MILENA	377
AYAH	374
GUNVOR	374
JANET	373
OLEKSANDRA	372
ALIS	371
ALISA	371
SAHAR	371
ANNE-GRETE	370
ANINE	369
ELEANOR	369
FENJA	368
HJØRDIS	368
MAIBRIT	368
CHILI	365
SUZAN	364
ANNE-SOPHIE	363
RENATA	363
MIHAELA	362
CHLOE	360
GRACE	357
JEANNIE	357
LISSIE	354
ERICA	351
META	351
MANJA	350
RABIA	350
MIKALA	349
SAHRA	349
MAJSE	348
MAY-BRITT	348
YANA	347
SAVANNAH	346
IRENA	345
HOLLY	344
NORAH	344
AJA	343
CELIA	343
DANIELLE	342
LEJLA	342
ANTONIA	341
KERSTIN	341
FELICIA	339
ELEONORA	338
AMALIA	337
DOROTA	337
INES	337
BRIGITTE	336
IZABELA	336
LANA	336
ANNA-LISE	335
AGATA	334
GINA	334
SIGGA	334
NAIA	332
SACHA	332
ASMA	331
BERITH	331
ELZBIETA	331
KLAUDIA	330
ANNE-DORTHE	328
POLINA	328
CHALOTTE	327
JUSTYNA	327
JOLANTA	326
ESRA	325
MATILDA	324
YASEMIN	324
MERVE	323
FANNY	322
EMINA	321
CECILLIE	320
ZUZANNA	320
HALYNA	319
TARA	319
DIANNA	318
MAYBRITT	318
CLEO	317
JENNIE	317
MICHELA	317
ZEINAB	317
ISA	316
MARWA	314
TESSA	314
SOL	313
ZOFIA	313
ALLA	312
GRITH	312
OFELIA	310
RANA	310
CIRKELINE	309
BEATRICE	308
ELIZA	308
THYRA	308
ANGELIKA	307
AVIAJA	307
KITT	307
EDA	306
ISOLDE	305
MARGOT	305
SYLVIA	304
ESMA	303
JAMILA	303
NOLA	303
ALICJA	302
NINI	301
DEBBIE	299
JELENA	299
LINN	299
MARIT	299
MEJSE	298
ROBERTA	297
SANNA	297
SYLWIA	297
ALBERTHE	296
LUCY	296
NADIIA	294
WIKTORIA	294
PATRYCJA	293
ELI	292
JOHNNA	292
MARIKA	291
NISA	291
HELIN	289
HOLLIE	289
HUDA	289
MELEK	289
MYRNA	289
SASJA	289
TONE	289
HELLA	288
ANNEGRETHE	285
ELKE	285
GYDA	285
VIDA	285
MANAL	284
LUCA	283
MARIJA	283
KAJSA	282
ROSEMARIE	282
NOA	281
TINNE	281
FRIGG	280
GUNVER	280
JEAN	280
NOELLE	280
DAISY	279
DOMINIKA	279
ANA-MARIA	278
AURORA	278
BIRGITTA	277
ESTRID	277
FARAH	277
KAMILA	277
MAHA	276
MATHILDA	275
HALIMA	274
LIUBOV	274
ELLI	273
FADIME	273
LILIANA	272
MALIN	272
SIENNA	271
KAIA	270
KÄTHE	270
HARRIET	269
MANUELA	269
OPHELIA	269
THIT	269
CHANETTE	268
MADELINE	268
HALA	267
ANEMONE	266
EVELINA	266
LONA	266
RINA	266
ANNESOFIE	265
UNA	265
TATJANA	264
TRILLE	264
AIA	263
KAISA	263
SIW	263
ALAA	262
ANNABELLA	262
ANISA	261
NAIMA	261
BIRTHA	260
LISS	260
METHA	260
ELSEBET	259
GIULIA	258
LOTUS	257
GITTA	256
HIBA	256
IWONA	256
LIANA	256
KRISTIANE	254
JASMINE	253
AMANI	252
HILDE	252
MARGARET	252
KITTY	251
GLORIA	250
SANNI	250
ANETA	249
LIDIA	249
MARTYNA	249
MUNA	249
ALVILDA	248
LARYSA	248
MELIKE	248
INGE-MARIE	246
KRYSTYNA	246
LUISA	246
EVI	245
MALINA	245
SELIN	245
AYLIN	244
CAJA	244
KATERINA	244
LIN	244
POULA	244
RENATE	244
ZEHRA	244
ANN-BRITT	243
LONNY	243
STINNA	243
SULTAN	243
LAYLA	242
MEGAN	241
SVEA	241
SIBEL	240
MIRJAM	239
ALISHA	238
ANYA	238
CHLOÉ	238
DALIA	238
GITHA	238
SAFIA	237
BETH	236
CAMILA	236
FRANCESCA	236
KIKI	236
LENI	236
ALONA	235
ANNE-LOUISE	235
EMMELI	235
KATRINA	235
ANN-MARIE	234
FILUCA	234
VALERIA	234
ALIYA	232
VALERIIA	232
EMA	231
NINETTE	231
ALIYAH	230
RAKEL	230
ANNE-DORTE	229
JENNI	229
KINGA	229
DILARA	228
MILANA	228
RANIA	228
VICKIE	228
JANIE	227
MADINA	227
ALLIS	226
NICOLA	226
CATALINA	225
ELHAM	225
ELISABET	225
LILLIE	225
ANNE-KATRINE	224
IOANA	224
OLIWIA	223
SAFA	223
ASMAA	222
ELIA	222
BILLIE	221
CHARLIE	221
CHIARA	221
VALBORG	221
DILEK	220
MITZI	220
SANDY	219
VILJE	218
IVANA	217
PETRINE	217
AICHA	216
FATEMA	216
VIKTORIJA	216
IVY	215
ABIGAIL	214
ANN-LOUISE	214
EWELINA	214
GABRIELE	214
JO	214
KATHERINE	214
LISSA	214
EMELIE	213
KAREN-MARGRETHE	213
SILA	213
RITTA	212
BUSHRA	211
IDUN	211
EKATERINA	210
KIS	210
SADIA	210
WERONIKA	210
ZELIHA	210
AMAYA	209
BERTHA	208
CAYA	208
SUMAYA	208
THALIA	208
FADUMO	207
MARNA	207
MERCEDES	207
ANNEGRETE	206
NATALI	206
BAHAR	205
FREIA	205
YELYZAVETA	205
ASYA	204
JULIANA	204
MARI	204
FATME	203
RIMA	203
ANAYA	202
DANUTA	202
TONI	202
TABITA	201
ANGELICA	200
BENITA	200
DERYA	198
ZITA	198
HANIN	197
INGE-MERETE	197
INGER-MARIE	197
ANNABELLE	196
NOOMI	196
ANNELI	195
CATARINA	195
HEBA	195
JANINA	195
ASIA	194
NETHE	194
SAMIA	194
SIHAM	194
SYS	194
AINO	193
NAWAL	193
NESRIN	193
ANNA-GRETHE	192
GISELA	192
KAREN-MARIE	192
SUSI	192
AYOE	191
BERTA	191
HACER	191
MEDINE	191
NICKIE	191
ASIYA	190
EMMELY	190
ESME	189
