Efternavne, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
TROLLE	673
WITT	672
HYLDGAARD	671
NYMANN	671
EGELUND	670
GERTSEN	667
HØJLUND	667
MARKER	666
BECKER	665
HØST	665
FINK	664
BOJSEN	663
PALM	663
SERUP	662
KRØYER	660
SKAANING	660
ESBENSEN	659
KOLDING	658
RICHTER	656
ZACHARIASSEN	656
LOHSE	655
TURAN	651
HALKJÆR	650
KUSK	650
STENSGAARD	650
STILLING	650
BOEL	649
ESPENSEN	649
GRØNBECH	649
LANGHOFF	649
RASHID	649
BENGTSON	648
GRØNKJÆR	646
AGGER	645
MUNCK	644
VISTISEN	644
LAU	643
BENGTSEN	642
HARTVIG	642
HOFF	641
OVERBY	640
PONTOPPIDAN	640
HØJLAND	639
LAUSTEN	639
LIN	639
NYHOLM	638
BACHMANN	637
RAFN	637
BYSKOV	635
MOHR	635
BERING	634
BUGGE	634
BREUM	632
BØGELUND	632
GULDBERG	631
BRUN	630
HAMANN	630
BØRGESEN	629
HUYNH	627
STRANGE	627
CARSTENS	626
PETERS	625
ABBAS	624
AGGERHOLM	622
RØNN	622
BANK	620
RASCH	619
ULRICH	619
BANKE	618
BENDIX	618
LUNDGREN	618
HALL	617
ROSENLUND	617
WICHMANN	617
OUTZEN	616
AKHTAR	614
SECHER	613
HØJBJERG	612
KARA	612
SKIPPER	611
HARBO	610
MOLLERUP	610
SØNDERSKOV	610
LEE	609
AHMADI	607
KRYGER	607
VITTRUP	606
LYNG	605
HOLGERSEN	604
KAPPEL	603
ENGBERG	601
NEERGAARD	600
APPEL	598
DALBY	598
BRAMSEN	595
THAYSEN	595
VOIGT	595
MARCHER	594
SAFI	594
HOVGAARD	592
MØRUP	590
DRACHMANN	588
KOKHOLM	588
FOLDAGER	587
BOLL	586
STENDER	586
LINDGREN	585
MYGIND	583
SOELBERG	583
LOMHOLT	582
TANGE	582
HAGEN	581
BALSLEV	580
BAUN	580
GORMSEN	579
LYSGAARD	578
NORDENTOFT	577
RANDRUP	575
HASLUND	574
GADEGAARD	573
TARP	572
ISSA	571
KAMP	570
GRØNBORG	569
LA COUR	568
ABDULLAH	567
KAUR	567
MARTENS	567
ÖZTÜRK	567
BRØDSGAARD	565
MIDTGAARD	565
HESSELLUND	563
LANGKJÆR	562
NIEMANN	562
EMBORG	561
HAMID	561
KARSTENSEN	560
STRAARUP	560
BREDAHL	559
BRINCH	558
GURUNG	558
JOHNSON	557
MØNSTER	557
RINDOM	557
TØNDER	557
MAHMOOD	556
MEJER	556
WIESE	556
PANDURO	555
MOSEGAARD	554
EBSEN	553
MANSOUR	553
WALTHER	553
BAUER	551
ØSTERBY	551
KEJSER	548
STØVRING	548
BEIER	546
JAMA	546
ANKER	545
ALBREKTSEN	544
HEGELUND	544
GUSTAVSEN	543
HOLCK	543
HVIDBERG	543
LUNDE	543
MILLER	543
KYED	541
BROE	540
EJLERSEN	540
AAGESEN	539
BORREGAARD	538
CORNELIUSSEN	538
FALLESEN	536
GRØNHØJ	536
