Fornavne til mænd, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
JORGE	286
BERNHARD	284
MERT	283
ABEL	282
NORR	282
GEERT	280
ISSA	279
THORVALD	279
ASLAN	278
LEONARD	276
NILAS	276
VILLE	276
JANN	275
KAROL	274
VASYL	273
NIKOLA	272
GLEN	271
KEMAL	269
LINDY	268
SNORRE	268
MIKA	267
NABIL	266
ALAA	264
ASKER	264
ARMIN	263
BOB	262
BOYE	262
ROBERTO	262
ABDULRAHMAN	261
EDIN	261
HUSSAIN	261
THANH	261
RALPH	260
ABDALLAH	259
ABDULLAHI	258
GEORGIOS	258
THØGER	258
TEODOR	256
BERAT	255
JENS-ERIK	255
LUDWIG	255
YASSIN	255
TONI	254
AZAD	253
EDUARD	252
OMER	252
SAXO	252
SINAN	252
ORHAN	251
HEINZ	250
IDRIS	250
TORKILD	250
AMER	249
BEN	249
MIKI	249
FADI	248
FERDINAND	248
METIN	248
BILLY	247
HACI	247
FOLMER	246
GILBERT	246
TOMMI	246
CHRESTEN	245
MOSTAFA	245
LORENZO	244
THYGE	244
YAKUP	244
AYAZ	243
RUSLAN	242
NIKI	240
SALAH	240
NIKITA	239
DARIUS	238
WINSTON	238
AMMAR	237
BURAK	237
ILLIA	237
JENS-CHRISTIAN	237
JIMMIE	237
NICKOLAJ	237
DOMINIC	236
PAVLO	236
SAYED	236
TAREK	236
FERNANDO	235
MARCK	235
AMAR	234
KNUD-ERIK	234
ISHAK	233
SIRIUS	233
FEDERICO	232
KONSTANTINOS	232
PILOU	231
IOAN	230
MARLON	230
NICKOLAI	230
NICOLAE	230
COLIN	229
SAAD	229
SIXTEN	229
EDGAR	228
HANS-ERIK	228
TARIK	228
RAGNAR	227
SAMER	227
ZBIGNIEW	227
ZAIN	226
NIELS-JØRGEN	225
TORBJØRN	225
EJLER	224
LEJF	224
SANTIAGO	224
TERKEL	224
ILIAS	223
IMAD	223
NIELS-HENRIK	223
RICARDO	223
ROALD	223
VADYM	223
RENE'	222
EIVIND	221
ETHAN	221
ISMET	221
MILAD	221
NORBERT	220
ALEJANDRO	219
ELVIS	219
HELMUTH	219
JAMIL	219
JOHNNIE	219
MINH	219
SIGFRED	219
JOEY	218
RAYAN	218
STANISLAV	218
BENNO	217
DIRCH	217
MATS	217
ASLAK	216
GIOVANNI	216
KRYSTIAN	216
TOPPER	216
FIND	215
FREY	215
IOANNIS	215
SHAWN	215
DIRK	214
FARHAD	214
KAY	214
RENÈ	214
SALEH	214
SALIH	214
CALLE	212
FILLIP	212
LOGAN	212
BENGT	211
RICHARDT	211
MINGUS	210
NIKKI	210
FERHAT	209
HOSSEIN	209
KONSTANTIN	209
OLLIE	209
FRANDS	208
JÜRGEN	207
MUHAMED	207
RADOSLAW	207
TAIS	207
ABDEL	206
BARTLOMIEJ	206
MAJID	206
SERKAN	206
BAYRAM	205
DUMITRU	205
NAZAR	205
OMID	205
PAULI	205
TEO	205
YEVHEN	205
ALEXANDRE	204
FAISAL	204
ARAS	203
ATTILA	203
MAHER	203
RODRIGO	203
ROY	203
SALIM	203
SONNI	203
BJÖRN	202
JACQUES	202
MATHIS	202
THEODORE	202
RAYMOND	201
ALIREZA	200
WIKTOR	200
CATALIN	199
CURT	199
HJALMER	198
JOHNY	198
KADIR	198
NORMAN	198
ALEN	197
OSAMA	197
TAHA	197
THAIS	197
VALTER	197
GORAN	196
MIROSLAW	196
NIKOLAOS	196
WOLFGANG	196
HARUN	195
HERMANN	195
YEVHENII	195
BERND	193
DIMITRIOS	193
FRANCIS	193
FREDERICK	193
GERNER	193
FURKAN	192
JEFFREY	192
SERGIO	192
TIMO	192
ATLE	191
AYOUB	191
MOHSEN	191
ANATOLII	190
JOSÉ	190
NOOR	190
STEFANO	190
ZORAN	190
ESPEN	189
KJARTAN	189
MILTON	189
ADIL	188
OLEG	188
OLIVIER	188
RUD	188
THORE	188
VITO	188
ARI	187
BOBBY	187
DAMIR	187
GIUSEPPE	187
LYNGE	187
TORKIL	186
DEJAN	185
ROGER	185
FIRAT	184
JAVIER	184
MINDAUGAS	184
FRANTZ	183
MUSTAPHA	183
JERRY	182
RUDOLF	182
FARID	181
JENS-PETER	181
KUNO	181
MAHMUT	181
ZAKARIYA	181
AYHAN	180
PAOLO	180
ARIAN	179
BALDUR	179
BENYAMIN	179
BØJE	179
ERKAN	179
JASMIN	179
ODIN	179
BEKIR	178
CHRISTOPH	178
EREN	178
ERVIN	178
NASER	178
PHILIPPE	178
ZILAS	178
IULIAN	177
MAXIM	177
MIKKI	177
PAVEL	177
ANTONI	176
OSWALD	176
REGNAR	176
CODY	175
JARI	175
MIKOLAJ	175
RASHID	175
BENNI	174
DANN	174
DAVIDE	174
KJELL	174
PHILIPP	174
THORBEN	174
ZIAD	174
STANISLAW	173
WILLI	173
DANYLO	172
KERIM	172
MIRZA	172
ANDI	171
DRAGAN	171
JEREMY	171
VISTI	171
EDUARDO	170
ARNO	169
AZIZ	169
SENAD	169
AYUB	168
ERWIN	168
IRFAN	168
ISAC	168
MASOUD	168
MELIAS	168
AGNER	167
AYAN	167
HAMED	167
JALAL	167
MARTINUS	167
SIGGE	167
STEVE	167
AIDEN	166
ARN	166
DINO	166
MAXIMILLIAN	166
NJORD	166
RICCO	166
MIO	165
NGOC	165
ANGELO	164
EDVIN	164
SERGII	163
HARVEY	162
YAKUB	162
DEXTER	161
FABIO	161
HÅKON	161
JAYDEN	161
DANIIL	160
MARWAN	160
PIET	160
SAEED	160
SAMMY	160
VALERII	160
YASSER	160
ARIF	159
ONUR	159
PETAR	159
RAPHAEL	159
VILMER	159
DANIAL	158
FIN	158
FRANTS	158
HELMUT	158
MAKSIM	158
NEIL	158
ANIL	157
ANWAR	157
BARAN	157
CLAUDIO	157
HAIDER	157
JANNICH	157
JANUSZ	157
JOAO	157
ARDA	156
INGVAR	156
JIMI	156
NIMA	156
WAEL	156
BASSAM	155
MIROSLAV	155
ARMAN	154
CAN	154
LEOPOLD	154
JAWAD	153
MANTAS	153
UMUT	153
ARASH	152
BURHAN	152
JENS-OLE	152
SVEN-ERIK	152
HANS-PETER	151
JANICK	151
JESSE	151
MATIN	151
MEHMED	151
MIRAC	151
NATHANIEL	151
CARL-JOHAN	150
EFE	150
RACHID	150
ENZO	149
JAKE	149
RADU	149
WILLAS	149
CALEB	148
EMRAH	148
HENDRIK	148
ISAM	148
JOSVA	148
NIELS-CHRISTIAN	148
HAIDAR	147
NEO	147
PASCAL	147
SÜLEYMAN	147
VIDAR	147
YILMAZ	147
ABRAHAM	146
HANI	146
MAHAMED	146
MORITZ	146
SKJOLD	146
USMAN	146
VLAD	146
FELIPE	145
IGNACIO	145
JÓN	145
TIMM	145
UMAR	145
VAGNER	145
ARLY	144
CONNOR	144
EGIL	144
ZAYN	144
DINES	143
GÖKHAN	143
RUDY	143
SAMSON	143
SELIM	143
THOBIAS	143
WILDER	143
YONAS	143
ANDRES	142
FRANCK	142
GEORGI	142
JERZY	142
JORDAN	142
MIHAIL	142
SVERRE	142
BARIS	141
BUE	141
DARIO	141
EYMEN	141
FARUK	141
KEITH	141
KEREM	141
PAULO	141
